what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1379875397159
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1379875397161
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1379875397203
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1379875397318
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1379875397341
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1379875397429
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1379875397461
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1379875397479
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1379875397546
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1379875397580
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1379875397612
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1379875397629
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1379875397698
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1379875397742
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1379875397742
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1379875397901
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1379875398114
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1379875398306
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1379875398516
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1379875398708
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1379875398780
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1379875398866
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1379875399060
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1379875399447
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1379875399525
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1379875399581
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1379875399602
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1379875399709
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1379875400031
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1379875400163
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1379875400295
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1379875400320
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1379875400360
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1379875400479
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1379875400498
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1379875400596
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1379875400824
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1379875400849
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1379875401087
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1379875401175
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1379875401208
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1379875401208
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1379875401227
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1379875401297
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1379875401634
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1379875401635
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1379875401801
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1379875401938
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1379875402066
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1379875402272
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1379875402711
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1379875402765
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1379875402792
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1379875402858
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1379875402974
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1379875403093
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1379875403159
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1379875403829
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1379875404427
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1379875404428
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1379875404603
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1379875404801
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1379875404999
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1379875405355
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1379875405484
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1379875405810
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1379875405880
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1379875405935
os,sysinfo,,,"win32",1379875405941
arch,sysinfo,,,"x86_64",1379875405941
ws,sysinfo,,,"win32",1379875405941
locale,sysinfo,,,"ru_RU",1379875405941
processors,sysinfo,,,"4",1379875405941
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379875405941
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1379875405941
java.specification.name,sysinfo,,,"Java Platform API Specification",1379875405941
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379875405941
java.specification.version,sysinfo,,,"1.7",1379875405941
java.vendor,sysinfo,,,"Oracle Corporation",1379875405941
java.version,sysinfo,,,"1.7.0_02",1379875405941
java.vm.info,sysinfo,,,"mixed mode",1379875405941
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1379875405941
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379875405941
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379875405941
java.vm.specification.version,sysinfo,,,"1.7",1379875405941
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379875405941
java.vm.version,sysinfo,,,"22.0-b10",1379875405941
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1379875406085
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1379875406901
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1379875407662
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1379875407735
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1379875407879
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1379875408874
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1379875409095
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1379875615842
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1379875615862
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1379875615912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875625838
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1379875647707
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1379875647735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1379875652754
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1379875667260
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1379875670104
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1379875671537
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1379875673065
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1379875675682
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1379875675690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875675692
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1379875679221
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1379875679234
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1379875680014
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1379875680048
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379875694079
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379875694727
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1379875694870
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1379875698558
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379875698558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875704267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875729874
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379875736399
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379875736435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875741005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875939285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAs",1379875939415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1379875994189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876015200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876030150
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1379876030160
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1379876038182
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379876038268
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1379876040705
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379876040731
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1379876043800
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379876043822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379876051132
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1379876053701
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1379876055900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876281704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876289546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1379876289555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1379876289555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1379876302308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876307773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876380391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876405088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876422281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876428859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876430452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876430880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876431931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876432382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876433599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876438072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876446583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876673873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876682499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876688112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876690048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876918561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876931885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876936864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876960430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877204180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877213070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877240567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877262188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877317650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877323455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877406119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877408796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877443778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877451147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877517507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877524944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877587214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1379877591030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877726704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379877740836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877822573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877823072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877823103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877823135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877823166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877823199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379877823231
